Primary.Insurance.Provider,Medicaid.ID,Medicare.ID,Commercial.ID,Name,DOB,Age,Gender,Phone,Address,City,Zip
NC MEDICAID,MID_20000,523,554,NAME_20000,8/22/2001,19,FEMALE,PHONE_20000,ADDRESS_20000,FAYETTEVILLE,28311
NC MEDICAID,MID_20001,2345,654,NAME_20001,10/10/1993,27,FEMALE,PHONE_20001,ADDRESS_20001,FAYETTEVILLE,28314
NC MEDICAID,MID_20002,32453,35,NAME_20002,1/5/2011,9,FEMALE,PHONE_20002,ADDRESS_20002,SPRING LAKE,28390
NC MEDICAID,MID_20003,4454,234,NAME_20003,8/22/2007,13,FEMALE,PHONE_20003,ADDRESS_20003,HOPE MILLS,28348
NC MEDICAID,MID_20004,5353,5,NAME_20004,8/1/2005,15,FEMALE,PHONE_20004,ADDRESS_20004,HOPE MILLS,28348
NC MEDICAID,MID_20005,452,354,NAME_20005,3/14/2013,7,FEMALE,PHONE_20005,ADDRESS_20005,HOPE MILLS,28348
NC MEDICAID,MID_20006,52,54224,NAME_20006,9/2/2004,16,MALE,PHONE_20006,ADDRESS_20006,FAYETTEVILLE,28314
NC MEDICAID,MID_20007,534,8465,NAME_20007,11/4/2015,5,MALE,PHONE_20007,ADDRESS_20007,FAYETTEVILLE,28304
NC MEDICAID,MID_20008,5345,3,NAME_20008,9/24/2017,3,MALE,PHONE_20008,ADDRESS_20008,FAYETTEVILLE,28311
NC MEDICAID,MID_20009,3554,532,NAME_20009,9/29/2004,16,FEMALE,PHONE_20009,ADDRESS_20009,FAYETTEVILLE,28314
NC MEDICAID,MID_20010,5354,45,NAME_20010,7/17/2006,14,MALE,PHONE_20010,ADDRESS_20010,FAYETTEVILLE,28306
